model,target_state,landmark,horizon,n_records,mean_auc_ipcw,sd_auc_ipcw,n_valid_auc_ipcw,mean_c_index_ipcw,sd_c_index_ipcw,n_valid_c_index_ipcw,mean_brier_ipcw,sd_brier_ipcw,n_valid_brier_ipcw
parametric,1,2.107118248939514,2.375222305456797,5,0.6517708333333333,0.10671339918666368,5,0.7071128877945124,0.055256822044527976,5,0.20907704861346055,0.09114942798060234,5
parametric,1,2.107118248939514,2.428843116760254,5,0.6134375000000001,0.34347574286621757,5,0.7319034657834255,0.09526194465966267,5,0.22372121971191258,0.10272262286475145,5
parametric,1,2.107118248939514,2.4824639280637104,5,0.4821959109730849,0.2752260720941251,5,0.6542723877140594,0.11524146967336162,5,0.24017002064650989,0.11043973969234419,5
parametric,1,2.107118248939514,2.5360847393671673,5,0.6229089098210774,0.10047078249852022,4,0.600225731896322,0.1363548470747512,4,0.32227842121645706,0.16565558543830128,4
parametric,1,2.107118248939514,2.5897055506706237,5,0.6815714022142423,0.032327698519009934,3,0.6721145434420457,0.06934262151980783,3,0.34265083434498417,0.15249495645465783,3
parametric,1,2.107118248939514,2.64332636197408,5,0.8134867498244223,0.17260516852518942,3,0.6978816821175545,0.1535852447208103,3,0.3026444312969945,0.17840536502180662,3
parametric,1,2.107118248939514,2.696947173277537,5,0.779358705772812,0.3821619318492434,3,0.6590013843354017,0.08329212973698574,3,0.30751422501406805,0.17925187212688012,3
parametric,1,2.107118248939514,2.750567984580994,5,0.779358705772812,0.3821619318492434,3,0.6877372927712324,0.2915156409838071,3,0.2913490656658983,0.16580526202587803,3
parametric,1,2.107118248939514,2.8041887958844502,5,0.9270251396648045,0.12639616577580148,3,0.5955413466455953,0.13440865394443816,3,0.2729997573379248,0.13863199300560425,3
parametric,1,2.107118248939514,2.8578096071879067,5,0.9270251396648045,0.12639616577580148,3,0.6273261119492534,0.11553270600952245,3,0.2503242483582022,0.11152475871788156,3
parametric,1,2.107118248939514,2.9114304184913635,5,0.9270251396648045,0.12639616577580148,3,0.6618719021606924,0.07646585142902514,3,0.23971772393094748,0.08821045396664655,3
parametric,1,2.107118248939514,2.9650512297948204,5,0.8905377094972067,0.15480305579747383,2,0.5772620441225389,0.10474080144381123,2,0.27700077438780757,0.003745608785404283,2
parametric,1,2.107118248939514,3.018672041098277,5,0.8011740572625698,0.2811823447708901,2,0.5736745757712344,0.14265592311519928,2,0.27685791517583913,0.01072974628202172,2
parametric,1,2.107118248939514,3.072292852401733,5,0.6023481145251397,,1,0.4535245762805972,,1,0.1333614768233092,,1
parametric,1,2.107118248939514,3.12591366370519,5,0.6619238826815643,,1,0.43850317404870737,,1,0.12023133537031423,,1
parametric,1,2.107118248939514,3.1795344750086465,5,,,0,,,0,,,0
parametric,1,2.107118248939514,3.233155286312103,5,,,0,,,0,,,0
parametric,1,2.107118248939514,3.2867760976155598,5,,,0,,,0,,,0
parametric,1,2.107118248939514,3.3403969089190166,5,,,0,,,0,,,0
parametric,1,2.107118248939514,3.3940177202224735,5,,,0,,,0,,,0
parametric,1,2.107118248939514,3.44763853152593,5,,,0,,,0,,,0
parametric,1,2.107118248939514,3.5012593428293863,5,,,0,,,0,,,0
parametric,1,2.107118248939514,3.554880154132843,5,,,0,,,0,,,0
parametric,1,2.107118248939514,3.6085009654362996,5,,,0,,,0,,,0
parametric,1,2.107118248939514,3.662121776739756,5,,,0,,,0,,,0
parametric,1,2.107118248939514,3.715742588043213,5,,,0,,,0,,,0
